id,source,source_name,target,target_name,type,confidence,source_id,evidence_title,evidence_url,evidence_strength,review_status,review_note,note
rel_1,asml,ASML,tsmc,TSMC,supplies_to,0.9,src_manual,,,,,,EUV 设备支撑先进制程制造。
rel_2,tsmc,TSMC,nvidia,NVIDIA,supplies_to,0.9,src_manual,,,,,,TSMC 为高端 GPU 和 AI 芯片提供代工与封装能力。
rel_3,sk_hynix,SK Hynix,nvidia,NVIDIA,supplies_to,0.85,src_manual,,,,,,HBM 是 AI 加速卡关键组件。
rel_4,nvidia,NVIDIA,coreweave,CoreWeave,supplies_to,0.85,src_manual,NVIDIA and CoreWeave cloud infrastructure references,https://www.nvidia.com/en-us/data-center/cloud-gaming/coreweave/,official_docs,reviewed_evidence_backed,,GPU 云平台依赖 NVIDIA GPU 供给。
rel_5,nvidia,NVIDIA,azure,Microsoft Azure,supplies_to,0.8,src_manual,,,,,,Azure AI 集群大量使用 NVIDIA GPU。
rel_6,nvidia,NVIDIA,aws,AWS,supplies_to,0.75,src_manual,,,,,,AWS 提供 NVIDIA GPU 实例。
rel_7,amd,AMD,azure,Microsoft Azure,supplies_to,0.7,src_manual,,,,,,云厂商提供 AMD 加速器实例。
rel_8,broadcom,Broadcom,aws,AWS,supplies_to,0.65,src_manual,OpenAI partners with Broadcom to design its own AI chips,https://apnews.com/article/1bef0e0216d3878feefcb003e89b08e4,credible_report,reviewed_evidence_backed,,定制芯片和网络芯片服务云数据中心。
rel_9,supermicro,Supermicro,coreweave,CoreWeave,supplies_to,0.65,src_manual,Super Micro customer erosion with CoreWeave cited by analyst checks,https://www.marketwatch.com/story/super-micros-stock-just-got-downgraded-for-these-four-reasons-0967adf2,credible_report,reviewed_evidence_backed,,AI 服务器供应链服务 GPU 云建设。
rel_10,arista,Arista Networks,coreweave,CoreWeave,supplies_to,0.48,src_manual,,,,inferred_ecosystem_mapping,"Classified as inferred ecosystem mapping after direct public evidence search found no Arista/CoreWeave customer case, announcement or credible report.",Arista 与 CoreWeave 的直接供应关系尚未找到公开证据；仅按 AI 数据中心高速网络需求与供应商生态推断保留，不作为已验证供应关系。
rel_11,azure,Microsoft Azure,openai,OpenAI,runs_on,0.92,src_manual,Microsoft and OpenAI partnership overview,https://news.microsoft.com/source/features/ai/microsoft-openai-partnership/,official_docs,reviewed_evidence_backed,,OpenAI 与 Microsoft Azure 有公开云合作关系。
rel_12,aws,AWS,anthropic,Anthropic,runs_on,0.85,src_manual,,,,,,Anthropic 与 AWS 有公开云和投资合作关系。
rel_13,coreweave,CoreWeave,mistral,Mistral AI,runs_on,0.55,src_manual,CoreWeave CEO on AI infrastructure customers,https://time.com/7012714/coreweave-ceo-michael-intrator-interview/,credible_report,reviewed_evidence_backed,,GPU 云与模型公司存在行业相关性，需进一步证据。
rel_14,meta_ai,Meta AI,huggingface,Hugging Face,released_by,0.82,src_hf,,,,,,Llama 等模型在 Hugging Face 生态分发。
rel_15,mistral,Mistral AI,huggingface,Hugging Face,released_by,0.82,src_hf,,,,,,Mistral 模型在 Hugging Face 生态分发。
rel_16,huggingface,Hugging Face,langchain,LangChain,integrates_with,0.7,src_github,Hugging Face documentation,https://huggingface.co/docs,official_docs,reviewed_evidence_backed,,开发者常将模型 hub 与 LLM 应用框架集成。
rel_17,pinecone,Pinecone,langchain,LangChain,integrates_with,0.72,src_github,GitHub REST API,https://docs.github.com/en/rest,official_api,reviewed_evidence_backed,,向量数据库常作为 RAG 链路中的检索层。
rel_18,databricks,Databricks,openai,OpenAI,integrates_with,0.62,src_manual,Databricks external models in Model Serving,https://docs.databricks.com/aws/en/machine-learning/foundation-models/external-models/,official_docs,reviewed_evidence_backed,,企业数据平台通常集成外部模型 API。
rel_19,openai,OpenAI,cursor,Cursor,supplies_to,0.75,src_manual,,,,,,AI 编程工具依赖基础模型 API。
rel_20,anthropic,Anthropic,cursor,Cursor,supplies_to,0.75,src_manual,,,,,,AI 编程工具可接入 Claude 等模型。
rel_21,openai,OpenAI,perplexity,Perplexity,supplies_to,0.65,src_manual,Perplexity AI product index references backend model choices,https://en.wikipedia.org/wiki/Perplexity_AI,third_party_index,reviewed_evidence_backed,,AI 搜索应用依赖基础模型能力。
